Company,Filename,Year,Unique ID
YATRA ONLINE LIMITED,1695373657832.pdf,2023,U63040MH2005PLC158404
GLOBAL SURFACES LIMITED,1680501089350.pdf,2023,U14100RJ1991PLC073860
HP ADHESIVES LIMITED,1640076626700.pdf,2021,U24304MH2019PLC325019
DEVYANI INTERNATIONAL LIMITED,1628596544879.pdf,2021,U15135DL1991PLC046758
CLEAN SCIENCE AND TECHNOLOGY LIMITED,1681818551996.pdf,2021,U24114PN2003PLC018532
KALYAN JEWELLERS INDIA LIMITED,1681362939104.pdf,2021,U36911KL2009PLC024641
STOVE KRAFT LIMITED,1687844297851.pdf,2021,U29301KA1999PLC025387
INDIAN ENERGY EXCHANGE LIMITED,1509191006472.pdf,2017,U74999DL2007PLC277039
RATNAVEER PRECISION ENGINEERING LIMITED,1694432967148.pdf,2023,U27108GJ2002PLC040488
KEYSTONE REALTORS LIMITED,1669004780163.pdf,2022,U45200MH1995PLC094208
INTEGRATED PERSONNEL SERVICES LIMITED,1666673449481.pdf,2022,U74190MH2004PLC144160
JUPITER LIFE LINE HOSPITALS LIMITED,1694502977062.pdf,2023,U85100MH2002PLC137908
AETHER INDUSTRIES LIMITED,1653979110197.pdf,2022,U24100GJ2013PLC073434
TARSONS PRODUCTS LIMITED,1683090745745.pdf,2021,U51109WB1983PLC036510
LATENT VIEW ANALYTICS LIMITED,1681883786428.pdf,2021,U72300TN2006PLC058481
KRSNAA DIAGNOSTICS LIMITED,1684479796428.pdf,2021,U74900PN2010PLC138068
EXXARO TILES LIMITED,1628667283989.pdf,2021,U26914GJ2008PLC052518
WINDLAS BIOTECH LIMITED,1681728453241.pdf,2021,U74899UR2001PLC033407
V-Marc India Limited,1617946889058.pdf,2021,U31908UR2014PLC001066
LAXMI ORGANIC INDUSTRIES LIMITED,1681361608482.pdf,2021,U24200MH1989PLC051736
XELPMOC DESIGN AND TECH LIMITED,1548219447228.pdf,2019,U72200KA2015PLC082873
EASY TRIP PLANNERS LIMITED,1681212120128.pdf,2021,U63090DL2008PLC179041
TVS SUPPLY CHAIN SOLUTIONS LIMITED,1693308049099.pdf,2023,U63011TN2004PLC054655
KAYNES TECHNOLOGY INDIA LIMITED,1668768990032.pdf,2022,U29128KA2008PLC045825
MEDPLUS HEALTH SERVICES LIMITED,1681883318116.pdf,2021,U85110TG2006PLC051845
METRO BRANDS LIMITED,1681886011341.pdf,2021,U19200MH1977PLC019449
SAPPHIRE FOODS INDIA LIMITED,1637050657945.pdf,2021,U55204MH2009PLC197005
VIJAYA DIAGNOSTIC CENTRE LIMITED,1683095430568.pdf,2021,U85195TG2002PLC039075
INDIA PESTICIDES LIMITED,1681360089762.pdf,2021,U24112UP1984PLC006894
AMI ORGANICS LIMITED,1687843643849.pdf,2021,U24100GJ2007PLC051093
NUVOCO VISTAS CORPORATION LIMITED,1684484745826.pdf,2021,U26940MH1999PLC118229
SHYAM METALICS AND ENERGY LIMITED,1683088585935.pdf,2021,U40101WB2002PLC095491
UTKARSH SMALL FINANCE BANK LIMITED,1689656554491.pdf,2023,U65992UP2016PLC082804
DIVGI TORQTRANSFER SYSTEMS LIMITED,1678359615052.pdf,2023,U32201MH1964PLC013085
KFIN TECHNOLOGIES LIMITED,1672038465141.pdf,2022,U72400TG2017PLC117649
FIVE-STAR BUSINESS FINANCE LIMITED,1684485901684.pdf,2022,U65991TN1984PLC010844
TRACXN TECHNOLOGIES LIMITED 100% Book Built Offer,1665736784528.pdf,2022,U72200KA2012PLC065294
VENUS PIPES & TUBES LIMITED,1680236707947.pdf,2022,U74140GJ2015PLC082306
PRUDENT CORPORATE ADVISORY SERVICES LIMITED,1683093517644.pdf,2022,U91120GJ2003PLC042458
